key	title	seat_d103	entry_no	watkins_band	watkins_list1	watkins_list2	watkins_cat_total	watkins_cat_survey	watkins_cat_additional	watkins_cat_cols	watkins_grade_years	miller_band	miller_calls	miller_rank
misterpc	Mr. P.C.	1A	87	List 1 (10)	10		17	10	7	MinorBlues	Sophomore	Top 25	22	17
anthropology	Anthropology	1A	88	List 1 (11)	11		17	11	6	Rhythm	Sophomore|Junior	Top 201	10	67
cottontail	Cottontail	1A	89	categorical (8)			8	4	4	Rhythm		log only	1	207
igotrhythm	I Got Rhythm	1A	90	List 2 (6)		6	10	6	4	Rhythm	Freshman|Sophomore	Top 201	3	146
moosethemooche	Moose the Mooche	1A	91	categorical (8)			8	2	6	Rhythm				
oleo	Oleo	1A	92	List 1 (21)	21		30	21	9	Rhythm	Junior	Top 201	1	207
rhythmaning	Rhythm-A-Ning	1A	93	categorical (7)			7	3	4	Rhythm		log only	2	163
foggyday	A Foggy Day	1B	1	List 2 (9)		9					Sophomore	Top 201	6	94
airegin	Airegin	1B	2	List 2 (9)		9					Senior	Top 201	1	207
allofyou	All of You	1B	3	List 2 (6)		6					Junior	Top 201		
angeleyes	Angel Eyes	1B	4	List 2 (9)		9					Senior	Top 201	2	163
beatrice	Beatrice	1B	5	List 2 (5)		5					Senior	Top 201	9	74
beautifullove	Beautiful Love	1B	6	List 2 (8)		8					Junior	Top 201	17	30
bluesette	Bluesette	1B	7	List 2 (8)		8					Sophomore	Top 201		
butbeautiful	But Beautiful	1B	8	List 2 (5)		5					Junior	Top 201	2	163
butnotforme	But Not for Me	1B	9	List 1 (10)	10						Freshman|Sophomore	Top 201	2	163
ceora	Ceora	1B	10	List 1 (11)	11						Junior	Top 201		
comerainorcomeshine	Come Rain or Come Shine	1B	11	List 2 (6)		6					Junior	Top 201	3	146
desafinado	Desafinado	1B	12	List 1 (12)	12						Junior	Top 201	17	30
dolphindance	Dolphin Dance	1B	13	List 1 (12)	12						Senior	Top 201	2	163
dontgetaroundmuchanymore	Don't Get Around Much Anymore	1B	14	List 2 (8)		8					Sophomore	Top 201	5	110
embraceableyou	Embraceable You	1B	15	List 2 (9)		9					Junior	Top 201	1	207
freedomjazzdance	Freedom Jazz Dance	1B	16	List 2 (6)		6	6	6	0	Free	Sophomore	Top 201		
georgiaonmymind	Georgia on My Mind	1B	17	List 2 (8)		8					Sophomore	Top 201	7	86
gonewiththewind	Gone with the Wind	1B	18									log only	1	207
groovinhigh	Groovin' High	1B	19	List 2 (9)		9					Sophomore	Top 201	3	146
honeysucklerose	Honeysuckle Rose	1B	20	List 2 (9)		9					Sophomore	Top 201	9	74
howdeepistheocean	How Deep Is the Ocean?	1B	21	List 2 (5)		5					Junior	Top 201	1	207
howinsensitive	How Insensitive	1B	22	List 2 (7)		7					Sophomore	Top 201	3	146
icantgetstarted	I Can't Get Started	1B	23	List 1 (12)	12						Sophomore	Top 201	1	207
iheararhapsody	I Hear a Rhapsody	1B	24	List 1 (11)	11						Senior	Top 201	7	86
irememberyou	I Remember You	1B	25	List 2 (7)		7					Junior	Top 201		
illrememberapril	I'll Remember April	1B	26	List 1 (16)	16						Junior	Top 201	1	207
inyourownsweetway	In Your Own Sweet Way	1B	27	List 1 (13)	13						Senior	Top 201	4	124
itsyouornoone	It's You or No One	1B	28	List 2 (5)		5					Junior	Top 201		
killerjoe	Killer Joe	1B	29	List 2 (7)		7					Freshman	Top 201		
laura	Laura	1B	30	List 2 (7)		7					Junior	Top 201	1	207
loveforsale	Love for Sale	1B	31	List 2 (9)		9					Junior	Top 201	7	86
loveisheretostay	Love Is Here to Stay	1B	32	List 2 (6)		6					Junior	Top 201	7	86
lullabyofbirdland	Lullaby of Birdland	1B	33	List 2 (7)		7					Sophomore	Top 201	12	52
manteca	Manteca	1B	34	categorical (2)			2	1	1	Rhythm		log only	1	207
meditation	Meditation	1B	35	List 2 (7)		7					Sophomore	Top 201		
moanin	Moanin'	1B	36									Top 201	17	30
myoneandonlylove	My One and Only Love	1B	37	List 2 (9)		9					Senior	Top 201	1	207
myshininghour	My Shining Hour	1B	38	List 2 (6)		6					Sophomore	Top 201	6	94
nicasdream	Nica's Dream	1B	39	List 1 (10)	10						Junior|Senior	Top 201	9	74
onenotesamba	One Note Samba	1B	40	List 2 (9)		9					Junior	Top 201	3	146
overtherainbow	Over the Rainbow	1B	41	List 2 (7)		7					Junior			
polkadotsandmoonbeams	Polka Dots and Moonbeams	1B	42	List 2 (6)		6					Junior	Top 201		
scrapplefromtheapple	Scrapple from the Apple	1B	43	List 2 (9)		9					Sophomore|Junior	Top 201	12	52
sophisticatedlady	Sophisticated Lady	1B	44	List 2 (7)		7					Senior	Top 201	1	207
speaklow	Speak Low	1B	45	List 1 (12)	12						Junior	Top 201	2	163
stareyes	Star Eyes	1B	46	List 1 (12)	12						Junior	Top 201	1	207
stolenmoments	Stolen Moments	1B	47	List 2 (7)		7	13	7	6	Blues	Sophomore	Top 201	6	94
takefive	Take Five	1B	48	List 2 (3)		3					Junior|Senior	Top 201	10	67
nighthasathousandeyes	The Night Has a Thousand Eyes	1B	49	List 2 (5)		5					Sophomore	Top 201		
shadowofyoursmile	The Shadow of Your Smile	1B	50	List 1 (10)	10						Junior	Top 201		
songisyou	The Song Is You	1B	51	List 2 (8)		8					Junior	Top 201		
triste	Triste	1B	52	List 1 (10)	10						Junior	Top 201		
yardbirdsuite	Yardbird Suite	1B	53	List 1 (12)	12						Freshman|Sophomore	Top 201	1	207
